,,,,,Type,W,L,Win %,Units,Total Plays,ROI,,,,,,
HOME,October,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.25,Friday,20,1.01,✅,lose,-1.00,UN
HOME,October,229,NBA,,1.00,SPREAD,1.91,win,0.91,2.60,Friday,21,1.92,✅,lose,-1.00,UN
HOME,October,226,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Friday,22,2.83,✅,lose,-1.00,OV
HOME,October,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.25,Friday,23,1.83,❌,win,3.25,OV
AWAY,October,234.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Friday,24,2.74,✅,lose,-1.00,UN
HOME,October,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Friday,25,3.65,✅,lose,-1.00,OV
HOME,October,219.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.00,Friday,26,2.65,❌,lose,-1.00,UN
HOME,October,218.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.60,Saturday,27,1.65,❌,win,2.6,UN
AWAY,October,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.95,Saturday,28,2.56,✅,lose,-1.00,UN
AWAY,October,225,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.25,Saturday,29,1.56,❌,lose,-1.00,OV
AWAY,October,227,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Saturday,30,2.47,✅,lose,-1.00,OV
AWAY,October,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Saturday,31,3.38,✅,lose,-1.00,UN
AWAY,October,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Saturday,32,2.38,❌,win,0.95,OV
HOME,October,218.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,8.00,Saturday,33,1.38,❌,lose,-1.00,UN
AWAY,October,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Saturday,34,0.38,❌,win,1.05,UN
AWAY,October,230.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Saturday,35,-0.62,❌,win,1.35,UN
HOME,October,230.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,1.95,Saturday,36,0.29,✅,lose,-1.00,OV
HOME,October,228.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.75,Sunday,37,-0.71,❌,win,2.75,OV
AWAY,October,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.90,Sunday,38,-1.71,❌,win,2.9,UN
AWAY,October,221,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.05,Sunday,39,-2.71,❌,win,2.05,OV
HOME,October,230,NBA,,1.00,SPREAD,1.91,win,0.91,5.00,Sunday,40,-1.80,✅,lose,-1.00,OV
HOME,October,221.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,4.25,Sunday,41,-2.80,❌,win,3.25,UN
HOME,October,224.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.80,Monday,42,-3.80,❌,lose,-1.00,OV
HOME,October,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.40,Monday,43,-4.80,❌,win,2.4,OV
HOME,October,232,NBA,,1.00,SPREAD,1.91,win,0.91,4.10,Monday,44,-3.89,✅,lose,-1.00,UN
