,,,,,Type,W,L,Win %,Units,Total Plays,ROI,,,,,,
AWAY,January,217.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Saturday,499,-32.96,❌,win,2.1,OV
HOME,January,235.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Saturday,500,-32.05,✅,lose,-1.00,UN
AWAY,January,239,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.85,Saturday,501,-33.05,❌,win,1.85,OV
HOME,January,224,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.80,Saturday,502,-34.05,❌,win,2.8,OV
HOME,January,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.25,Saturday,503,-35.05,❌,win,5.25,UN
AWAY,January,236.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.30,Saturday,504,-34.14,✅,lose,-1.00,UN
HOME,January,230,NBA,,1.00,SPREAD,1.91,win,0.91,2.30,Saturday,505,-33.23,✅,lose,-1.00,OV
HOME,January,229.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.30,Saturday,506,-32.32,✅,lose,-1.00,OV
HOME,January,227,NBA,,1.00,SPREAD,1.91,lose,-1.00,9.50,Sunday,507,-33.32,❌,lose,-1.00,UN
AWAY,January,232.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Sunday,508,-32.41,✅,lose,-1.00,UN
HOME,January,209,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.00,Sunday,509,-33.41,❌,win,3,UN
HOME,January,218,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Sunday,510,-34.41,❌,lose,-1.00,OV
HOME,January,225,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.35,Sunday,511,-35.41,❌,win,1.35,OV
HOME,January,224,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.10,Monday,512,-36.41,❌,lose,-1.00,OV
AWAY,January,221.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Monday,513,-35.50,✅,lose,-1.00,UN
AWAY,January,222,NBA,,1.00,SPREAD,1.91,win,0.91,5.25,Monday,514,-34.59,✅,lose,-1.00,UN
HOME,January,207,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.00,Monday,515,-35.59,❌,win,4,UN
AWAY,January,231,NBA,,1.00,SPREAD,1.91,win,0.91,3.00,Monday,516,-34.68,✅,lose,-1.00,OV
AWAY,January,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Monday,517,-35.68,❌,win,1.25,UN
HOME,January,231,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Monday,518,-34.77,✅,lose,-1.00,UN
HOME,January,214.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Monday,519,-35.77,❌,lose,-1.00,UN
HOME,January,218,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.35,Monday,520,-34.86,✅,lose,-1.00,OV
AWAY,January,225.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.70,Tuesday,521,-35.86,❌,win,1.7,UN
AWAY,January,223.5,NBA,,1.00,SPREAD,1.91,win,0.91,7.50,Tuesday,522,-34.95,✅,lose,-1.00,OV
AWAY,January,218,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.05,Tuesday,523,-35.95,❌,win,2.05,UN
AWAY,January,221.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.50,Tuesday,524,-35.04,✅,lose,-1.00,UN
AWAY,January,239,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Tuesday,525,-36.04,❌,lose,-1.00,OV
AWAY,January,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Tuesday,526,-35.13,✅,lose,-1.00,UN
HOME,January,215.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,4.25,Tuesday,527,-36.13,❌,win,3.25,UN
HOME,January,230.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.20,Wednesday,528,-35.22,✅,lose,-1.00,OV
HOME,January,245,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Wednesday,529,-34.31,✅,lose,-1.00,UN
HOME,January,221,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.90,Wednesday,530,-35.31,❌,lose,-1.00,UN
AWAY,January,212,NBA,,1.00,SPREAD,1.91,win,0.91,4.20,Wednesday,531,-34.40,✅,lose,-1.00,UN
HOME,January,233.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.75,Wednesday,532,-33.49,✅,lose,-1.00,UN
HOME,January,224,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Wednesday,533,-34.49,❌,win,1.05,UN
AWAY,January,223,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Wednesday,534,-35.49,❌,win,1.6,OV
HOME,January,226.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.50,Wednesday,535,-36.49,❌,win,1.5,UN
HOME,January,234.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,8.00,Thursday,536,-37.49,❌,lose,-1.00,OV
AWAY,January,222,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Thursday,537,-36.58,✅,lose,-1.00,UN
AWAY,January,199,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Thursday,538,-35.67,✅,lose,-1.00,UN
HOME,January,221,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.50,Thursday,539,-36.67,❌,lose,-1.00,OV
HOME,January,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Thursday,540,-37.67,❌,win,1.2,UN
HOME,January,237.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.00,Thursday,541,-36.76,✅,lose,-1.00,OV
AWAY,January,222,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.80,Thursday,542,-37.76,❌,lose,-1.00,UN
HOME,January,224.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,5.00,Friday,543,-38.76,❌,lose,-1.00,UN
AWAY,January,212,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.05,Friday,544,-39.76,❌,lose,-1.00,OV
HOME,January,219,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Friday,545,-40.76,❌,win,2.2,OV
HOME,January,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.75,Friday,546,-41.76,❌,win,4.75,UN
AWAY,January,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Friday,547,-40.85,✅,lose,-1.00,OV
HOME,January,243,NBA,,1.00,SPREAD,1.91,win,0.91,4.90,Friday,548,-39.94,✅,lose,-1.00,PUSH
HOME,January,221.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,8.50,Friday,549,-39.03,✅,lose,-1.00,OV
HOME,January,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.50,Saturday,550,-40.03,❌,lose,-1.00,UN
HOME,January,225,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Saturday,551,-39.12,✅,lose,-1.00,OV
HOME,January,233,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Saturday,552,-40.12,❌,win,1.05,OV
AWAY,January,219,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Saturday,553,-39.21,✅,lose,-1.00,UN
AWAY,January,231.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.10,Sunday,554,-38.30,✅,lose,-1.00,UN
HOME,January,228.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.60,Sunday,555,-37.39,✅,lose,-1.00,OV
HOME,January,230,NBA,,1.00,SPREAD,1.91,lose,-1.00,8.50,Sunday,556,-38.39,❌,lose,-1.00,OV
HOME,January,239.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.50,Sunday,557,-39.39,❌,win,3.5,UN
AWAY,January,205,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Sunday,558,-40.39,❌,win,1.05,UN
AWAY,January,230.5,NBA,,1.00,SPREAD,1.91,win,0.91,10.00,Sunday,559,-39.48,✅,lose,-1.00,OV
HOME,January,212.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Sunday,560,-40.48,❌,lose,-1.00,OV
AWAY,January,223,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,7.50,Monday,561,-41.48,❌,lose,-1.00,OV
HOME,January,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.60,Monday,562,-42.48,❌,win,2.6,OV
AWAY,January,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.80,Monday,563,-43.48,❌,win,1.8,UN
HOME,January,234,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Monday,564,-44.48,❌,lose,-1.00,OV
HOME,January,215.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.70,Monday,565,-43.57,✅,lose,-1.00,UN
HOME,January,221,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.50,Monday,566,-44.57,❌,win,1.5,OV
AWAY,January,231.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.75,Tuesday,567,-43.66,✅,lose,-1.00,OV
AWAY,January,238,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Tuesday,568,-44.66,❌,win,1.15,OV
HOME,January,243,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Tuesday,569,-45.66,❌,win,1.05,UN
HOME,January,227,NBA,,1.00,SPREAD,1.91,win,0.91,2.15,Tuesday,570,-44.75,✅,lose,-1.00,OV
AWAY,January,235,NBA,,1.00,SPREAD,1.91,win,0.91,2.10,Tuesday,571,-43.84,✅,lose,-1.00,UN
HOME,January,219.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.50,Tuesday,572,-44.84,❌,win,1.5,OV
AWAY,January,218.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.80,Wednesday,573,-43.93,✅,lose,-1.00,OV
AWAY,January,229,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.50,Wednesday,574,-44.93,❌,win,6.5,UN
HOME,January,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.90,Wednesday,575,-45.93,❌,win,1.9,UN
HOME,January,212.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.95,Wednesday,576,-45.02,✅,lose,-1.00,OV
HOME,January,221.5,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Wednesday,577,-44.11,✅,lose,-1.00,OV
AWAY,January,240,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Wednesday,578,-43.20,✅,lose,-1.00,OV
AWAY,January,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.50,Wednesday,579,-42.29,✅,lose,-1.00,OV
AWAY,January,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.80,Wednesday,580,-43.29,❌,lose,-1.00,OV
HOME,January,217,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Wednesday,581,-44.29,❌,win,2.1,OV
HOME,January,215,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Wednesday,582,-43.38,✅,lose,-1.00,OV
HOME,January,213,NBA,LG,1.00,SPREAD,1.91,win,0.91,7.50,Wednesday,583,-42.47,✅,lose,-1.00,UN
AWAY,January,229.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.10,Thursday,584,-41.56,✅,lose,-1.00,UN
AWAY,January,231.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.75,Thursday,585,-42.56,❌,lose,-1.00,OV
HOME,January,233,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Thursday,586,-41.65,✅,lose,-1.00,OV
AWAY,January,220.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.30,Thursday,587,-40.74,✅,lose,-1.00,UN
HOME,January,225,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.55,Thursday,588,-39.83,✅,lose,-1.00,OV
HOME,January,213.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,8.00,Friday,589,-38.92,✅,lose,-1.00,OV
HOME,January,216,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Friday,590,-39.92,❌,win,1.25,UN
HOME,January,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Friday,591,-40.92,❌,win,1.5,OV
AWAY,January,228,NBA,,1.00,SPREAD,1.91,win,0.91,2.50,Friday,592,-40.01,✅,lose,-1.00,OV
HOME,January,233,NBA,,1.00,SPREAD,1.91,win,0.91,5.25,Friday,593,-39.10,✅,lose,-1.00,OV
HOME,January,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.50,Friday,594,-38.19,✅,lose,-1.00,OV
AWAY,January,221,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Friday,595,-39.19,❌,win,1.3,UN
HOME,January,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Friday,596,-40.19,❌,win,1.05,OV
HOME,January,216,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,4.75,Friday,597,-41.19,❌,lose,-1.00,UN
HOME,January,237,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.25,Saturday,598,-42.19,❌,win,3.25,UN
HOME,January,223.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.10,Saturday,599,-41.28,✅,lose,-1.00,UN
HOME,January,231.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.00,Saturday,600,-42.28,❌,lose,-1.00,OV
AWAY,January,227,NBA,,1.00,SPREAD,1.91,win,0.91,2.70,Saturday,601,-41.37,✅,lose,-1.00,OV
AWAY,January,223,NBA,LG,1.00,SPREAD,1.91,win,0.91,5.00,Saturday,602,-40.46,✅,lose,-1.00,OV
HOME,January,219.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.30,Sunday,603,-39.55,✅,lose,-1.00,OV
AWAY,January,223.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.45,Sunday,604,-38.64,✅,lose,-1.00,UN
HOME,January,226,NBA,,1.00,SPREAD,1.91,win,0.91,6.00,Sunday,605,-37.73,✅,lose,-1.00,OV
HOME,January,217.5,NBA,,1.00,SPREAD,1.91,win,0.91,10.00,Sunday,606,-36.82,✅,lose,-1.00,OV
HOME,January,216.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.70,Sunday,607,-35.91,✅,lose,-1.00,OV
AWAY,January,236.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.65,Sunday,608,-36.91,❌,win,1.65,UN
HOME,January,236.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,10.50,Sunday,609,-36.00,✅,lose,-1.00,UN
AWAY,January,224,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.50,Monday,610,-37.00,❌,win,1.5,UN
HOME,January,223,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.65,Monday,611,-38.00,❌,win,2.65,UN
HOME,January,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.70,Monday,612,-39.00,❌,lose,-1.00,UN
HOME,January,239,NBA,,1.00,SPREAD,1.91,win,0.91,3.30,Monday,613,-38.09,✅,lose,-1.00,UN
HOME,January,238,NBA,,1.00,SPREAD,1.91,win,0.91,3.45,Monday,614,-37.18,✅,lose,-1.00,UN
AWAY,January,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Monday,615,-36.27,✅,lose,-1.00,UN
HOME,January,230.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.25,Monday,616,-37.27,❌,lose,-1.00,OV
HOME,January,227.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.95,Monday,617,-38.27,❌,win,1.95,UN
AWAY,January,219.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,6.00,Tuesday,618,-39.27,❌,lose,-1.00,UN
HOME,January,218,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.20,Tuesday,619,-40.27,❌,win,3.2,OV
AWAY,January,213,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Tuesday,620,-41.27,❌,win,0.95,UN
HOME,January,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.25,Tuesday,621,-40.36,✅,lose,-1.00,OV
HOME,January,227.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,7.00,Tuesday,622,-39.45,✅,lose,-1.00,UN
HOME,January,233,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.50,Wednesday,623,-40.45,❌,win,1.5,UN
AWAY,January,216,NBA,,1.00,SPREAD,1.91,win,0.91,6.50,Wednesday,624,-39.54,✅,lose,-1.00,UN
AWAY,January,213,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.45,Wednesday,625,-40.54,❌,lose,-1.00,OV
AWAY,January,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Wednesday,626,-41.54,❌,win,1,UN
HOME,January,241,NBA,,1.00,SPREAD,1.91,win,0.91,5.75,Wednesday,627,-40.63,✅,lose,-1.00,OV
HOME,January,232.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,10.00,Wednesday,628,-41.63,❌,lose,-1.00,OV
HOME,January,231,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.40,Wednesday,629,-42.63,❌,lose,-1.00,OV
AWAY,January,216,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,6.00,Wednesday,630,-43.63,❌,lose,-1.00,OV
HOME,January,230,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.25,Thursday,631,-44.63,❌,win,1.25,OV
HOME,January,213,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Thursday,632,-45.63,❌,win,2.2,UN
HOME,January,237.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.70,Thursday,633,-46.63,❌,win,1.7,OV
HOME,January,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.75,Thursday,634,-47.63,❌,win,4.75,OV
HOME,January,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.05,Thursday,635,-46.72,✅,lose,-1.00,UN
HOME,January,242.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.35,Thursday,636,-45.81,✅,lose,-1.00,OV
HOME,January,232.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Thursday,637,-44.90,✅,lose,-1.00,OV
AWAY,January,220,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.00,Thursday,638,-45.90,❌,win,2,UN
HOME,January,225.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,8.00,Thursday,639,-44.99,✅,lose,-1.00,UN
HOME,January,217,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,1.95,Friday,640,-45.99,❌,win,0.95,UN
AWAY,January,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.75,Friday,641,-46.99,❌,win,3.75,OV
HOME,January,242.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.50,Friday,642,-46.08,✅,lose,-1.00,OV
AWAY,January,231,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.10,Saturday,643,-45.17,✅,lose,-1.00,OV
AWAY,January,230,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Saturday,644,-46.17,❌,win,1.6,OV
AWAY,January,226,NBA,,1.00,SPREAD,1.91,win,0.91,4.10,Saturday,645,-45.26,✅,lose,-1.00,OV
AWAY,January,210,NBA,,1.00,SPREAD,1.91,win,0.91,3.40,Saturday,646,-44.35,✅,lose,-1.00,UN
AWAY,January,230.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Saturday,647,-45.35,❌,win,1.05,UN
HOME,January,208.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.30,Saturday,648,-44.44,✅,lose,-1.00,OV
HOME,January,230.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.90,Saturday,649,-45.44,❌,win,1.9,UN
HOME,January,230,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Saturday,650,-46.44,❌,win,1.5,OV
HOME,January,232.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Saturday,651,-45.53,✅,lose,-1.00,OV
HOME,January,231,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.45,Saturday,652,-46.53,❌,win,1.45,UN
HOME,January,248.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.00,Saturday,653,-45.62,✅,lose,-1.00,UN
AWAY,January,219.5,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Saturday,654,-44.71,✅,lose,-1.00,OV
HOME,January,234,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.50,Saturday,655,-45.71,❌,lose,-1.00,UN
HOME,January,226.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.35,Saturday,656,-44.80,✅,lose,-1.00,OV
HOME,January,225.5,NBA,ONE GAME,1.00,SPREAD,1.91,lose,-1.00,7.50,Sunday,657,-45.80,❌,lose,-1.00,OV
HOME,January,235,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Monday,658,-44.89,✅,lose,-1.00,UN
HOME,January,221,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.85,Monday,659,-45.89,❌,win,1.85,OV
AWAY,January,228,NBA,,1.00,SPREAD,1.91,win,0.91,6.00,Monday,660,-44.98,✅,lose,-1.00,UN
HOME,January,242.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.40,Monday,661,-44.07,✅,lose,-1.00,OV
AWAY,January,247.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.10,Monday,662,-45.07,❌,win,3.1,OV
HOME,January,217,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.90,Monday,663,-46.07,❌,lose,-1.00,UN
HOME,January,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.50,Monday,664,-45.16,✅,lose,-1.00,OV
AWAY,January,238.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.25,Monday,665,-44.25,✅,lose,-1.00,UN
AWAY,January,225,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.05,Monday,666,-45.25,❌,win,1.05,UN
AWAY,January,227,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.55,Tuesday,667,-46.25,❌,lose,-1.00,UN
AWAY,January,218.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Tuesday,668,-47.25,❌,win,1.6,OV
HOME,January,220,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Tuesday,669,-46.34,✅,lose,-1.00,UN
AWAY,January,231,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.90,Tuesday,670,-47.34,❌,win,1.9,OV
HOME,January,205.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.16,Wednesday,671,-48.34,❌,win,1.16,UN
HOME,January,232,NBA,,1.00,SPREAD,1.91,win,0.91,2.85,Wednesday,672,-47.43,✅,lose,-1.00,OV
AWAY,January,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.90,Wednesday,673,-46.52,✅,lose,-1.00,UN
HOME,January,231,NBA,,1.00,SPREAD,1.91,win,0.91,7.50,Wednesday,674,-45.61,✅,lose,-1.00,OV
AWAY,January,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.90,Wednesday,675,-44.70,✅,lose,-1.00,OV
HOME,January,240,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Wednesday,676,-43.79,✅,lose,-1.00,UN
AWAY,January,232.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.70,Wednesday,677,-44.79,❌,win,2.7,UN
AWAY,January,220.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Wednesday,678,-43.88,✅,lose,-1.00,OV
HOME,January,220.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Wednesday,679,-44.88,❌,win,1.05,OV
HOME,January,223.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,4.50,Wednesday,680,-45.88,❌,win,3.5,OV
HOME,January,240,NBA,FG,1.00,SPREAD,1.91,win,0.91,5.00,Thursday,681,-44.97,✅,lose,-1.00,OV
AWAY,January,224,NBA,,1.00,SPREAD,1.91,win,0.91,3.90,Thursday,682,-44.06,✅,lose,-1.00,OV
AWAY,January,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.95,Thursday,683,-43.15,✅,lose,-1.00,OV
HOME,January,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Thursday,684,-44.15,❌,lose,-1.00,OV
AWAY,January,212,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.70,Thursday,685,-45.15,❌,win,1.7,UN
AWAY,January,208,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,6.50,Friday,686,-46.15,❌,lose,-1.00,OV
AWAY,January,229,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Friday,687,-47.15,❌,win,0.95,UN
AWAY,January,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.20,Friday,688,-48.15,❌,lose,-1.00,OV
HOME,January,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Friday,689,-49.15,❌,win,1.5,UN
AWAY,January,231,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.75,Friday,690,-50.15,❌,lose,-1.00,OV
AWAY,January,237,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Friday,691,-51.15,❌,win,1.1,OV
AWAY,January,228.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,1.95,Friday,692,-50.24,✅,lose,-1.00,OV
HOME,February,242.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,4.10,Saturday,693,-51.24,❌,lose,-1.00,OV
AWAY,February,217.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.45,Saturday,694,-52.24,❌,win,1.45,UN
AWAY,February,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.50,Saturday,695,-53.24,❌,lose,-1.00,UN
HOME,February,209.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.75,Saturday,696,-54.24,❌,win,5.75,UN
HOME,February,218.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.75,Saturday,697,-55.24,❌,win,4.75,UN
HOME,February,236.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.45,Saturday,698,-54.33,✅,lose,-1.00,OV
HOME,February,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.75,Saturday,699,-55.33,❌,win,3.75,OV
AWAY,February,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Saturday,700,-56.33,❌,lose,-1.00,UN
HOME,February,226.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.45,Saturday,701,-57.33,❌,win,1.45,OV
HOME,February,233,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.90,Sunday,702,-56.42,✅,lose,-1.00,OV
HOME,February,236,NBA,,1.00,SPREAD,1.91,win,0.91,9.50,Sunday,703,-55.51,✅,lose,-1.00,OV
AWAY,February,219.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.80,Sunday,704,-56.51,❌,win,1.8,OV
AWAY,February,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.25,Sunday,705,-57.51,❌,lose,-1.00,OV
HOME,February,248.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.45,Sunday,706,-58.51,❌,win,1.45,OV
HOME,February,214.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.70,Monday,707,-59.51,❌,win,1.7,OV
HOME,February,237.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Monday,708,-60.51,❌,win,1.55,OV
HOME,February,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Monday,709,-61.51,❌,lose,-1.00,OV
HOME,February,241,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Monday,710,-60.60,✅,lose,-1.00,UN
HOME,February,222,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Monday,711,-61.60,❌,win,1.6,OV
HOME,February,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,11.00,Monday,712,-60.69,✅,lose,-1.00,UN
